,username,comment
460,Bai,"最近我也怕我黑化
總之希望你能永遠是小劉
加油
最後！遠離館腸，肌肉腦是沒救的"
461,CC L,想看Toyz來推薦在雙北裡，他吃完覺得道地的港式茶餐廳
462,踢歐歪力的女朋友,椅子新年快樂我永遠愛你
463,Jimmy 1way,"老粉簽到
我大椅子邏輯口才根本屌打99%的yt"
464,伍越添,TOYZ棒棒喔~
465,esn_1108,新年快樂啊，椅子
466,LEO,幹~ 這是我看椅子拍出最有意義深度的影片了
467,浣熊,椅子新年快樂! 先來看看影片(希望有臭豆腐XD)
468,北七低能,很棒的人生觀 難關過關關過 最鐵的椅粉 祝椅子哥順利 新年快樂
469,間黑男,椅子 新年快樂
470,給斯特,你說的是感覺是小說裡再講的真我，小劉何時要教導大家修仙？
471,Alex,TOYZ加油!
472,XTY,愛死椅子
473,steven Lee,"椅子 
活的通透"
474,小青,那個...有人也覺得toyz蠻帥的嗎？
475,Zhi Cheng,椅子加油
476,如月,想問椅子跟筱崎炫還有聯絡嗎
477,拒絕色情,toyz的三觀跟我一樣 尤其是朋友方面
478,MoReKa 114,"互相輸出 當是我就想歪了
抱歉了 bY小劉"
479,Brandon Chien,小劉原地加油ㄝ
480,許名偉,椅子 還有人炸你 來跟我說 我來處理
481,迟缓儿统z,這套尾牙套餐名字叫詐欺欸嗎
482,椉畻,椅子哥 昨天直播沒跟到 怎沒辦法看了
483,Tzi,椅子加油
484,Jackson Hitt,我購物車放799元商品也有輸入你的折扣碼，但有75元運費，沒有免運。小劉可以解答一下嗎？
485,蘿蔔頭頭,椅子哥有興趣合作嗎
486,chio chan,大家為甚叫Toyz做椅子？
487,sun run獵仁,靠背那工商也很靠北椅子哥不愧是流量鬼才
488,Kevin Lee,"廣告文案挺強的，如果是Toyz的文案的話千萬別放跑了
相思李舍看得我都有點想去了"
489,kevin cheng,蕭媽媽的水餃貴的沒吃過，買一般的高麗菜或韭菜的OK，重點其實不是在水餃，是在他的醬料區，其中用他的青醬真的是無敵好吃，我都點麻辣乾餃，有高麗菜或韭菜二種水餃都有，也有麻辣醬加花生加青菜，CP值高。貴的就應該像TOYZ吃的感覺，應該是吃不出那個價值。
490,褲襠,太感動了，小劉終於發片了，但我比較想看直播ㄚㄚㄚ
491,Alan,椅子什麼時候要直播！！！！想看直播跟練拳的後續
492,丹尼丹尼,3:10 Toyz對業配的演藝，真的挺牛B的
493,Jeff Yang,找椅子拍博弈手遊廣告 很棒的理解XD
494,AndrewAY,幸好toyz的廣告不是拿著手機玩遊戲說：「你們看看這遊戲有多好玩，我又中幾百萬啦。」如果是這樣的廣告我第一時間按倒讚看到什麼百姓、依x那些FB廣告真的無言
495,但丁,這應該是提前錄好的。 椅子IG動態說過要下禮拜才開直播，因為病毒太強，他沒力氣開直播。
496,IRONy MAN,這業配全程TOYZ都是笑著，到底給了多少$= =?
497,湯爵伃,小劉，這集超精采，按讚了
498,Angela M.,Toyz 加油
499,GG人,椅子的影片，且看且珍惜，看一次少一次不知何時會斷更
500,s迷途羔羊,椅子完全不怕啦，直接硬噴也...
501,Sunniee C,看到椅子幹爆水餃，晚上趕快吃蕭媽媽壓壓驚! 他們家東西得挑啦
502,黃俊傑,這幾天沒看到你 我已經不知道之後沒有你的日子我要怎麼度過了小劉
503,盛水,看到廣告跳出來本來想快轉掉，沒料到廣告還可以這麼toyz（好笑），看完整個廣告還在笑
504,小鹿,看一集少一集 我真的很怕椅子又被吉
505,T.K.C,坐等椅子開箱館長便當
506,天行者.安納金,店很敢賣 TOYZ很敢講 
507,aaa lee,"看完了以後
小劉阿，我真是替你捏了把冷汗"
508,Ryan,有一说一，toyz可接多点这种广告，有话题度、广告费也多哈哈哈。喜欢toyz
509,阿甘,為什麼椅子的廣告比較好看XDD
510,朱紹誠,我願意沖咖啡給椅子喝 保證不打槍
511,蠟筆crayon,toyz怎麼開始工商智障手游了
512,YEN C,椅子哥邀你過年一起玩聚寶ㄤ賴
513,佐久良友紀,差點以為小劉不見了
514,大頭安,請問椅子哪時要去館長那裡練拳？
515,Nn N,想問椅子這件衣服哪買的
516,jeremy lin,椅子你都確診失去味覺了怎麼當公道伯？
517,A Fu,椅子的項鍊是 烏鴉的嗎
518,林儒儒,"糙.
Toyz最好給我每天上片
不然遲早把你送出去關"
519,aabbc369,水啦小劉
520,黃婷,小劉️
521,ho hh,小劉聲音是不是變了
522,JCL,TOYZ的剪輯真的是很到位，最後蛋塔那個...真的是有笑到，給剪輯加薪啦!
523,Mudi Chung,建議蛋塔可以多加個菜品叫科學麵加粥，toyz一定給好評
524,貢九桃NinePeach,其實搞個小蛋塔放點心更適合，並且放置在吃不飽可以續點，又不太高的成本，而且增加飽足感，那個牛排看起來就好吃!，Toyz評價有道理，吃不飽你搞個水餃衝三小? 重點是還不是什麼義大利餃之類的，而是冷凍水餃...
525,音無,食材、廚藝沒話說，但創意料理，好不好吃很主觀，所以人家才會找toyz去評論或辦試吃，蛋塔真的很用心
526,維,每次在晚餐前看椅子評論就很有食慾，看到牛排就更餓了有機會想去嘗試下
527,RAY RAY,"TOYZ 評價了這麼多 餐廳菜色 
希望能有 其他YT 訪問 餐廳主廚 的內心想法"
528,RockY,祝椅子早日康復啊 
529,玉米,請toyz出個toyz專屬菜單  以後鍋就給椅子扛了 完美
530,🍯 Wini 危尼 🐻,抱歉我笑開懷…感謝Toyzzz…也感謝蛋塔很有度量
531,rubbish bin,"有多小老闆能說出口,只要toyz說不行就收一收,這氣量才是男人,比住在裝甲車的雙標女人好多了,值得支持"
532,炫奇,那個牛排真的不錯，我朋友上次花6000去吃 雙人餐評價其實跟椅子差不多～食物創新牛排好吃 但吃不飽🫣
533,肉哥哥,看的出TOYZ真的很在乎粉絲的感受
534,且行,椅子在幹美食公道伯時是最正常的時候
535,J ason,"老實說除了牛排和羊排以外其他的菜都看起來沒什麼食慾
椅子都收了錢吃每道菜都還覺得差強人意，那這份菜單是真的不怎麼好吃吧哈哈
(聽到吃不飽會補水餃直接罵髒話會笑死)"
536,何俊鋒,光看影片畫面與椅子有同感~那牛排一定超讚的~除了肉質一流外~那恰到好處的熟度比之什麼茹X葵或華X斯X牛排館都高端~
537,王王毫,壓力有點大 因為老闆在旁邊XD 感覺椅子還是會收一點 不能直接炸氣噴
538,凱宇梁,椅子早日康復啊
539,ugly1129,"toyz 夠公道,有認識一個美食部落客,幾年他推的餐廳都沒去吃過,唯一去吃他大推海鮮餐廳就打槍,連炒飯都沒熟米粒小小硬硬的
才知道一堆推薦都是事先吩咐好的特別做,不管分量還是擺盤~失望"
540,張威棋,Toyz大大，很推薦開箱新竹誠食館的無菜單料理，非常有創意有非常美味，又讓你飽著回去！相當推薦
541,YAN JUN ZHANG,想看toyz拍網紅餐廳（特別的）創意料理
542,Reese Natalie,"希望蛋塔看到我的評論~~~ 
我本身因為興趣會研究食譜，也懂得中西餐料理(有考證照)，我覺得牛排色澤很好，相信烹調方式下足苦工，感覺口感與熟度是我接受的範圍，另外創意料理漢堡品項很不錯，值得嚐一嚐，但是除此之外，其他都很普通，看完影片恰好就像Toyz觀點大同小異，若我是不會料理的一般人，可能都還能接受，也或許還會感到驚艷，但除了牛排以外，就真的很一般 ..."
543,Shaun Haung,"我用看得就飽了XDD 
Toyz的食量有點驚人XDD"
544,H國,"下次來個Toyz套餐
淡菜擺盤可以改一下
牛排看起來超頂"
545,Alena Hsu,還是最喜歡Toyz 美食公道伯系列 哈哈
546,穩彰記帳士事務所,感謝Toyz分享美食！
547,許文,"看完椅子吃完 給我感覺就是

食材很好  廚藝就.."
548,飛飛,椅子 項鍊直接貼在皮膚上會有牛郎感 建議戴在衣服外 哈哈
549,Andy Peng,"建議椅子哥的攝影師
Aroll跟Broll的白平衡
顏色一致看起來會比較舒服"
550,章瑜擱,敢叫椅子去就很帶種了
551,林楓,雖然被館長踢出師門，感覺還是蠻喜歡TOYZ的XD，繼續當兩邊的粉絲
552,張先生,"阿蛋塔就付錢了 
還有什麼公平的
蛋塔先付錢給toyz 再來叫人可以隨便評論
阿都收錢了是怎麼隨便評"
553,HIYOU OH,"塔哥可以跟Toyz合作
慢慢下去改善 會越來越好"
554,Yu-Hsiang Lin,2500一客的套餐，聽完toyz的評價反而不想點了，還是單點吃牛排就好
555,arthur king,熟悉的椅子回來了
556,雪暖暖,我覺得蛋塔態度很謙虛 但希望謙虛中帶點自信(不要太過卑微的感覺?) toyz也沒有光批評不點重點~  影片整體不錯看
557,wen yang chang,光是願意給椅子評論 這氣度我就給過了  比某個崩潰雙標仔好多了 不聽人講話 跟個小女孩似的在那哭
558,jeremy lin,恭喜toyz確診了！
559,Wade Wilson,"業主願意接受真實評論就算不錯了，接著看怎樣改進一下。

不過其實google評論有去過的客人應該也都給過意見，在小劉去前之間餐點做過的調整是不是還是不夠好？"
560,李,蛋撻花錢請TOYZ 改造啦  相信更有話題性！
561,Kid Crazy,"就想挑戰一下toyz 是不是真的懂吃 
去吃一次看看"
562,李彥徵,吃這個感覺不如去吃紳士燒肉 椅子給過的寥寥可數
563,Alex_panamera,今天椅子這穿搭，說不出來的怪
564,蘇蘇 蘇,椅子確診多休息
565,P WEI,想請問椅子哥的項鍊是什麼牌子的
566,巴拉巴巴巴,有料欸 蛋塔對你改觀了欸，你很敢欸，花錢被公審 我只能說，就我的指標，椅子比米其林更能說服我
567,鴨小,我反而覺得有些地方沒有很喜歡椅子的態度。 蛋塔反而虛心受教的態度
568,胖達,其實我覺得toyz的衣服很好看欸 有好心人可以告訴我是哪個品牌嗎
569,ShihYu Chiang,椅子這鞋子加鞋墊有十公分了吧墊完看起來有173
570,Jack C Shih,蛋塔本來就說Toyz不懂吃阿，當然給你在這亂噴
571,煎蛋,我愛椅子
572,陳泊,椅子好像真的很討厭花花草草
573,葉俊葳,看剛看完就4552人 椅子讚
574,人謎語,蛋塔阿 你不如請TOYZ幫你改造付錢 還比較有效果
575,吳承祐,希望椅子別去館長那邊練了 太多機會能被館粉燒了
576,阿不拉,Toyz你在失望什麼呢，你去吃米其林的 份量少不拉基的，唯典客的量算不少了吧
577,Nige,比起toyz他那个菜单。。感觉差好远。
578,Wei Zheng,很喜欢听Toyz 胡说八道。
579,SIN,蛋塔是否後悔找Toyz ?
580,迪,椅子有點腫欸
581,袁米里,toyz你484越來越像杜汶澤了....
582,王大洪,要是宣傳館長商品，光看完開頭，館長就會開直播怒噴當時是toyz找我的欸，現在是什麼態度
583,nomad chao,Toyz胖了
584,科比卡溫頓,椅子你贏了，情緒勒索館長，館長直接給您予取予求，資源就放在那，館長贊助你訓練，跟你也不是師徒關係，館長願意吃虧，但贏在了真性情，真男人！椅子你就好好訓練！真小人非你莫屬！但請拜託，一定要打敗鍾培生，並且聘請一位專業的拳擊教練，推薦拳擊小潘，他真的很強！成吉館的教練畢竟是屬於MMA 領域，跟拳擊領域稍微不同，花點小錢，增加贏的機會，成為下一個台灣版傑克保羅。
585,Chou Chou,Toyz屁孩不懂吃
586,Kai,老實說整體配搭都讓我每道都想躍躍欲試，而不是像有些搭配會有些突兀的菜色，我也很支持椅子比較注重食材原味，調料是個配角不該搶走主食材風味，甚至好的配料可以在把主食材風味在提升，總之這次搭配的菜色很喜歡，cp值又高
587,GEOFFREY LAW,很傳統美食公道伯的感覺，要求也是本來他傳統的要求，TOYZ本來就喜歡食材味道大於醬料味道
588,吳麗麗,甜點是最後對這家餐廳的印象~覺得Toyz講的很對~ 還有朋友開的店很虛心接受與改進~相信不會讓大家失望~~((PS : 奎丁女神您的分數表忘了打分數啦XDD))
589,王子杰,很喜歡toyz說的一句話［雖然簡單，但是是好吃的］ 吃東西就是這麼簡單又純粹
590,MuMuก็ʕ•͡ᴥ•ʔ ก้,看Toyz吃飯就是莫名療癒! 有機會一定會帶家人朋友去吃><
591,Nate Nié,"2:08 
Toyz因為個人口味調整配菜當然十分合理

不過其實搭配泡菜並沒有比較日式或比較韓式的問題 大家可能有看過在日本的""日式""燒肉店許多也是提供了泡菜 甚至冷麵這種傳統韓式料理"
592,Channel,我會從香港來台灣嚐嚐，Toyz雖然不是什麼美食家，但這個世界上就是普通人最多嘛，沒到那麼專業，但簡單好吃卻是最重要的
593,龍浩武藤,最愛看 美食公道伯 恭喜Toyz回歸
594,Rossi,這是一個很棒的合作  11800確實佛心 一人平均也才2800出頭  日後也會有許多餐廳找TOYZ合作對餐點指點屬實雙贏 我在紙也給予餐廳志高的評價  根本不是以往看其他YT的業配合做 看了很假 這個真實多了
595,林小牛,椅子真的是老饕等級，對食物很有天份
596,范金平,這個套餐比什麼東區一堆高機燒肉店還要超值 不愧是椅子 無懈可擊
597,nl D,椅子️的昆布鹽 跟脆的海苔這兩個細節太了
598,G C,跟toyz合作的廠商太有眼光了~
599,倒讚專家,這將是Toyz三分熟牛小排味蕾的巔峰時刻了，接下來可能只能在監獄吃肉鬆粥配Gino的涼粉
600,妄想症,有準備的toyz 口條無可挑剔
601,BB保雲,"感謝小劉推薦
但想請TOYZ指教一下
美食到底是吃...食材, 還是吃烹飪技巧呢?
我也明白好的食材用簡單的做法就已經很美味"
602,小鬼,Toyz 加油 唔好比人睇死 支持你
603,Never Lucky,難怪前幾天要怒噴墮哥來刺激流量，原來是馬上有工商的部分阿!真的是企劃鬼才阿小劉
604,奇軒 呂,椅子是我少數網紅屆看得最開心的！
605,外星語音樂,姑且不論好不好吃，基本上看完應該不會覺得不好吃，主要是看椅子的人氣，接近3000的價位，或許體驗一次可以，但就基本上而言能不能吃到七分飽其實是一個問號，當然不是說要吃多飽，看完份量感覺男生去吃就當作是吃氣氛的，或者吸引粉絲，女生應該沒問題，我的話也在考慮，或許可以嘗試一次看看，畢竟看完23道菜，以我個人本身份量就不大的人，對我來說23道菜可能七分飽而已，但椅子能推薦的可以嘗試看看。
606,Wilson Yeh,有機會去試試，感謝TOYZ的介紹
607,メロン喰い組のスライム,不愧是鬼才Toyz
608,廷,Toyz有沒有考慮開會員抽獎請會員一起去美食公道伯
609,Yi -Long Ma,上次看到有人那麼認真聽椅子講話的還得是Gino
610,justin lu,我好奇這套離椅子的人生菜單還差了些什麼來著
611,Tyson Chen,致流量之鬼業配之王，東西好不好吃我不知道，但TOYZ的SET竟然是四人餐，感覺不太對阿.....依照腳色設定不該是沒朋友的個人餐嗎?
612,KilinW,Toyz菜單的重點就是不能有草味
613,林祐漢,"好久不見的美食公道伯
話說為什麼IG跟小7互相退追了 椅子哥"
614,Lin,我還以為最後能看到小劉招待老婆的單
615,闕帝勝,"Toyz設計套餐有一人套餐嗎？
看了好想吃，
但湊不到4人啊！"
616,w indy,"？？？？聽到價格我傻眼 椅子節目看久什麼價格都知道差不多
只是這四人套餐比我想的還要低 是怎樣
這樣份量去其他地方 不只這個價錢吧"
617,Nn Wei,小劉怎麼沒邀請嫂子吃
618,救急試念觀世音,很喜歡toyz，有多少人跟我一樣是在今年才粉他的？
619,詹冠貓,最愛椅子哥
620,Bang,先幫小劉按個讚
621,Boyan Liu,這部片看得很舒服 每一道菜看起來都很好吃 配上Toyz的口條 直接原地勃起
622,man chung,現在是toyz還是小劉~~XD
623,Kid Crazy,"這些细節加toyz把口 高级更多了
你相信是隨便一個犯罪的人令給你的感覺嗎"
624,張茶茶,剛剛發現google照片上陳艾琳跟toyz菜單一模一樣
625,P an,椅子覺得吃之前需要呼一點嗎？
626,Ju N,小劉果然挑嘴 衝一波來去ㄘㄘ看
627,Pierce,沒找篠崎泫ㄘ喔椅子哥
628,張維恩,"剪輯方式是不是不太一樣了啊？
有點不適應椅子新的說話節奏"
629,Google Lei,「Toyz每次的道歉都很誠懇，誠懇到大家都覺得他下次絕對不會再犯，可是往往下次他又會做出一樣的事」---史丹利
630,Jamie Su,"小劉出來之後真的變了一個人
假如以後能當反毒或是戒菸大使
那是真的respect"
631,Mr.N music,感謝Toyz哥 讓我平常沒抽過煙的人 也能透過影片去試著體會那些抽菸者對於戒煙過程的種種身心理上狀態轉變與心得感觸 結論：還是別抽煙比較好
632,hua Y,"好難得看到這麼勵志又正經的TOYZ,而且第一天跟最後一天，臉色明顯好很多！厲害！"
633,紅豆泥,椅子要堅持下去 要拍這種紀錄片不簡單 萬一破戒 全部支持你的粉絲不知道有多失望 加油啦拜託 就算進窯子了 也要堅持住
634,我不是故意的,小劉加油，第一步永遠是最難的，但只要有開始相信您一定能變得更優秀，謝謝你帶來的歡樂<3
635,Zai Berd,加油 Toyz 你的以身作则真的让我很敬佩 我要向你看齐 尽管之前犯了过错 都没有关系 人谁无过 知错能改就好了！
636,Du Du,"這集真的有料 , 感謝TOYZ  , 也會推薦給身邊的朋友.
也會告誡朋友.工作不是中斷戒菸的理由跟藉口."
637,上一頁,祝願toyz可以越來越好
638,夜起,"toyz為了直播犧牲奉獻卻因此遭到了毀滅性的打擊,我們會永遠記住你的椅子"
639,秋JunXuan,看到TOYZ豪車出門 錢開始有慢慢賺回來 生活也慢慢變得精彩 恭喜TOYZ重回風光  雖然不是以前的野獸了  但還是希望以後能繼續燒錢拍更多優質的影片及推廣電競!
640,Grace Zhou,"看了好幾遍，真心覺得8:00的椅子好可愛

恭喜戒菸成功，希望能繼續保持
也祝福你之後能越來越順利"
641,QArc,toyz近期影片都有再視這讓觀眾從多方角度去看事情 我覺得很棒 toyz 加油 要更好
642,雨天,"toyz近期影片都在回饋這個社會
respect"
643,Take easy,Toyz 加油，紀錄片拍完了也要持續維持喔
644,wh,椅子哥影片真好看 果然還是不會讓我們失望
645,亦寶吃不飽,恭喜Toyz戒菸成功！！！ 本來以為中間想要抽0.1濃度的時候以為難道要失敗了嗎但Toyz還是成功的忍耐不抽真的很讚！！！
646,Sean,"這影片很好 優質!
 應該多多拍類似的題材 加油小劉"
647,yu cheng,希望椅子頻道保得住，我還想看直播
648,錫蘭的表姐,"今年31 已经十年烟龄～ 很励志！为了以后更好的自己。
有点可惜Toyz晚上九点半直播是我们这边的凌晨三点半"
649,Caleb Kuo,這招是不是可以理解為是給法官看的加分項目？ 厲害～祝椅子成功
650,方寒,我們在此祝福小劉 一路順風放心地去吧
651,梨子,椅子很棒，繼續努力下去
652,張力元,超屌!!! TOYZ加油!!! 雖然你曾墮落過 但可以看到你的轉變 讚啦!!!
653,林哲賢,Toyz哥！！一起加油 目前第19天路過
654,殺豬刀,影片質感越來越讚 加油Toyz
655,小夜 Sayo,希望 Toyz 能持續戒菸下去，千萬不要又抽回來了~~
656,Ry law,"我相信toyz 從來不會令我失望
期待你下一次改抽鴉片"
657,esn_1108,"必須給讚，非常喜歡以Vlog的形式出現的椅子
感覺更貼近了。"
658,存在感很水,恭喜椅子 戒菸14天 希望你繼續保持下去內
659,Anthony Lai,"自從Toyz戒菸後,生活過得更精彩,更有意義XD"
660,arias minato,非真粉而且嘴也很賤，還是支持椅子R~ 希望所有努力的人都能慢慢地把自己變更好
661,Zhi Cheng,太棒了椅子我對你刮目相看，兩頻道已訂閱
662,z84114514,聰明的小劉只說不碰會上癮的東西
663,Frank,"不抽菸了！我們呼起來！
開玩笑的希望椅子繼續堅持下去，長期讓大家看到椅子的改變，應該就能完全改邪歸正回到世界第一中單！在我心中第一中單從來沒換過人的，加油香港噁男！"
664,間黑男,太厲害了 說戒就戒掉 不愧是小劉
665,Saitama,加油toyzz！！这很励志啊 我也燃烧斗志了
666,Zheng Wei Lin,看完你的戒菸影片，比看外面的戒煙宣導影片還有用，有讓人想戒菸的想法 TOYZ 加油！！
667,黃先生,太厲害了Toyz 看完先抽一隻壓壓驚
668,陳柏瑜,我感覺戒菸是一輩子的事，靠意志力撐幾天把生理上的菸癮戒掉還不算難，更難的是之後每次遇到通常會想抽菸的情況，心理的菸癮都會跑出來一下，這種狀況我也不知道會持續多久，我戒了五年都還是會有這種反應，希望小劉可以撐過去吧。
669,king勛,椅子加油！！！！正能量爆棚啦！
670,llll,戒菸真的難 你果然超於常人 以前我新收跟人打架去違規房兩個月出來還是抽 懂得就懂 toyz加油
671,椅子,加油   祝椅子戒菸順利
672,Cai Shangyu,"我也是一個討厭菸的人 我現在18歲  希望我能永遠保持一樣的想法
住Toyz戒菸加油"
673,麥口酥,"椅子哥 我也是戒菸一陣子了
自從去年八月 陪伴我們家的愛犬因病離世
花費了龐大的資金也搶救不回來一條生命
加上自己菸齡10多年，肺部其實開始咳嗽不適了，再加上一直以來抽菸對身邊的人確實沒有好處。"
674,oMe,"椅子我幫你想到了,下次還可以做戒尻/戒糖/戒油炸/戒熬夜/戒電玩/戒手機"
675,SFlash,小劉真的很努力在打動法官
676,傅一宸,"椅子哥加油 我也在戒菸 
目前已經快半年了"
677,uvyz,的確影片最後小劉眼神變得有精神了
678,莊惟俊,看這 小劉的 戒菸紀錄片 我默默的 點起一根 深吸了一口 舒服
679,STAR,"去勒戒所戒毒後現在戒煙
期望下支影片小劉可以戒色"
680,孫糖飲,看來椅子真的很想留在台灣
681,小伍,"很喜歡Toyz旁白的聲音
但
可以不要笑成這樣嗎"
682,在幹嘛,Toyz加油戒掉煙了！還差一個而已
683,DJ Tom,"看完我趕緊點了一支菸
話說Toyz能每天運動 久了就會對運動上癮 也能幫助戒菸"
684,莉莉卡Lirikaリリカ,"椅子戒菸加油!
我也戒菸過 真的不容易 但是戒菸完之後真的舒服很多"
685,Aaron Tsai,我是菸齡快17年 至今已經戒菸超過5年了 戒菸就是靠意志力!! 前三天最難熬 想抽菸我就喝水 一有想來一口的念頭就猛灌水 打遊戲一定放一瓶2千CC的水再電腦桌旁 現在碰到二手菸 會有厭惡感.......戒菸好處多 如:抵抗力變好 晚上睡眠品質變好 盒包也變飽了..... 如沒抽菸的朋友 能不抽就別抽 有抽菸的朋友 能戒菸就戒掉 恭喜TOYZ戒菸成功!
686,可可,太扯了椅子 有戒菸過的就知道這不是一件容易的事
687,周冠瑱,Toyz，其實你想要的是寶亨九號對吧，你的慾望就像一顆皮球一樣，如果你用力把他壓下去，它呢還是會反彈回來的。
688,yomin chang,"既然拍了影片說要戒菸,希望椅子日後說到做到阿, 如果之後反悔又抽了,可不是說我又上癮了做效果就能呼嚨過去,真的希望好好珍惜粉絲再給你重新再起的機會"
689,424 leo,邊抽電子煙邊看toyz 加油
690,藤野向陽,究竟Toyz三個月後會不會變成Stanleyz呢
691,葛格優葛,"49小時那段  高規格反社會人格出現嘞  大肆得情嘞  還有辯論自己是為了要工作  來妥協   (抽一根) XD
要忍住阿  Toyz~"
692,小罐罐,博士上次被嗆開爛車之後呢馬上換一台瑪莎拉蒂看看椅子會說什麼。
693,南加大衛哥,13:15 原來Toyz家裡還有養老鷹
694,貝爾遊戲頻道,喜歡這種影片 能認識小丑以外的椅子
695,暫時不發片,希望椅子下次挑戰一個月不尻尻
696,獵虎,建議TOYZ可以買個薄荷條(鼻吸劑，越涼越好)，當想抽菸時就去吸鼻吸劑，鼻吸劑的薄荷涼味衝擊鼻腔會有種抽菸的錯覺，多少可以降低想抽菸慾望。
697,蕭瑜馨,"最近也在想戒菸 我最近超愛toyz 每部影片都有看 剛剛看到這個影片 決定開始戒菸

我是女生 一天抽快2包 已經抽五年以上 之前吃過戒菸藥 很不舒服很想吐 "
698,崎椅果,下次安排减肥健身企划吧，TOYZ瘦下来后像周汤豪，筱崎泫昨天才去周汤豪演唱会了，减肥后一定更喜欢你！
699,李昱辰,恭喜小劉戒菸成功   抽根菸慶祝一下巴
700,waterywingz,"Honestly, Toyz, you are not one of my favorite ppl on YouTube… and I can’t say I like ya very much, given your previous “incidents”. But D@MN, boy, GOOD FOR U for quitting smoking  I grew up w a smoking father, too. And I was quite turned off when I saw you started smoking onscreen. But you are amazing for being self aware, and making this video, and making ur colleague quit w you, too "
701,joe wu,煙彈戒了 現在換戒煙 走向更自律的人生了 椅子
702,Lin Ze,Toyz 你最後忘了量體重 我比較好奇戒了到底會胖多少還是瘦多少哈哈
703,冬晴霜,"小劉太勵志了,讓我想抽根菸壓壓驚"
704,布涅貝哲,"反而toyz香煙要戒 但大麻反而不用戒 就戒掉了 
笑死直接打臉那些說大麻比煙 難戒的人"
705,杜呱呱,Toyz加油～
706,Jay chieh,"被小劉深深的影響...
我決定從明天開始就去下載Doggo Go"
707,Eric Chang,真的假的 我有抽菸 能體會戒菸的感受 椅子真的能戒菸成功 給你一個大大的respect!!!!!🫡
708,錫柯的號角,"Toyz發誓要戒掉所有會上癮的東西
這句話懂的都懂
大多數的大麻使用者是不會上癮的
但還是去合法的國家用吧"
709,嗨你好,給toyz：咖啡配煙，快樂似神仙
710,林賜海,"一樣都四年 只是椅子是兩個月 Gino是十個月
笑死"
711,wei,拍給陳怡珊法官看 太有料了托椅子
712,Nathan Tang,"有時候我覺得台灣人真的太善良了, 一次一次被騙, 又一次一次去相信. 我相信只有台灣才能做到. 香港日本韓國歐美國家跟本不可能有這種情況發生,.    Toyz現在還有業配, 事業還沒有完結. 只能說他真的是鬼才, 很會說話, 很會騙, 大家很喜歡他.  台灣十大奇蹟, 他一定佔一位.      就算他是騙的,是演的 我也覺得也是以他才能得回來的.     知道他要坐牢了,來看一看. 居然發現神跡."
713,微笑,椅子加油
714,蒼穹之月,搶救椅子小老弟計劃XD
715,一隻檸檬,此時小劉正在一邊抽煙一邊上傳影片
716,J,椅子是因為篠崎泫不喜歡會抽菸的男生而戒菸嗎 哈哈哈哈
717,LC,希望椅子能持之以恆 就跟我一樣 持之以恆的不戒菸
718,姬級,"椅子戒煙為了健康（X
為了接下來四年比較好過（O"
719,Loki,"自從Toyz 戒菸後登了大號
工藤新椅"
720,Ho Cheung Lam,椅子在戒煙14天後，連衣服都洗白了！
721,Bin Wu,Toyz 好帥~~~Toyz 好帥~~~Toyz 好帥~~~Toyz 好帥~~~Toyz 好帥~~~Toyz 好帥~~~Toyz 好帥~~~
722,D77 L,小劉可以把煙給Gino啊他很需要
723,Sultan Lin,"Toyz  推薦你一個業配的機會
推薦你戒菸想喝咖啡的話買一台自動研磨咖啡機+咖啡豆  盆滿缽滿ㄚ"
724,⇘Sylphy的遊戲頻道⇙,還撐著嗎Toyz?
725,Eisner Yeh,"看了Toyz影片 果斷想戒菸
.
.
."
726,林禹丞,好帥椅子 男神
727,T.ø.p,"第一次看椅子哥拍這種深度影片好愛
在4:17的畫面真有像堯哥"
728,Xiaohong小宏,椅子加油!
729,南山哥,小劉加油
730,唯一出路,我不喜番聽別人的事 就Toyz介過煙什麼的 特別的有趣特別的香 btw我介煙2年了 加油 但我仲有keep 住木草
731,弇,"戒菸對小劉最大的幫助
就是進去可以賣菸"
732,許峴瑋,想問椅子刺青後恢復的時候都不會癢嗎
733,wesleyGG,"小劉要入獄搂~讓我們拭目""椅""待"
734,蔡大大,椅子哥瘦子討厭你了
735,周群,偷椅子長得越來越像鍾賠生了
736,LEO LEE,Respect toyz
737,小Q,太強辣 小劉
738,葉同學,小劉 你進去就會抽了
739,豪智,椅子哥阿你戒菸完進去關 還不是要吸二手菸 ？
740,小小工讀生,怎麼跟男生露營烤肉 這不是我認識的偷椅子
741,蕭舜,真的在騙人沒戒過菸 我抽3年 現在戒了 中間戒的時候也沒有戒斷症狀，嚴重懷疑椅子為了節目效果演的
742,Dylan Tu,"ㄜ..抽煙會影響味覺
toyz至少抽一年了
那之前的美食公道伯是在拍爽的？？？"
743,Kent H,椅子那件愛心短袖是什麼牌子啊
744,極速領域焦糖,Toyz哥  我也想要毛哥
745,Kelvin Chan,我看到小小劉站起來了
746,Hi Do,8:00看菸對小劉做了什麼
747,andy0125andy,"Toyz哥,下次挑戰戒色..."
748,Mu,很久沒看拖椅子了，影片裡面提到的博士指的是誰啊？
749,江紘名,那個毛哥是什麼東西？真的像toyz說的那樣酷的東西嗎
750,Meng,"不好意思 想問一下有人知道Toyz衣服是穿什麼牌子的嗎？
愛心 中間裂一半 有眼淚"
751,SH GME,謝toyz
