,username,comment
80,Ren Andre,Toyz出事前，我沒在看，從出事之後到現在我反而一直看，Toyz真的是直播鬼才…流量密碼…
81,Oscar,其實開店做生意，最困難的就是一開始沒知名度，人家要靠加盟才有曝光，這些都要轉化為成本，而 Toyz 不用，本身自帶流量，這樣也不能說別人貴不厚道，因為你的飲料店是超過十年你所累積的名氣來的。
82,TSE,"曾任職連鎖品牌店長
Toyz真的屌 揭秘連鎖體系的黑幕
我真心覺得他敢公開就表示不怕人家加盟，價格公開透明
我也是受不了我們公司變成賣貨型總部，加盟主每個都以為有錢丟進去就能賺錢，殊不知開了公司根本不管你死活，倒了就算了，記得不要跑料就好"
83,愛鸚斯坦 LPStein,TOYZ感覺是現在台灣行銷最強的人，說話讓人意猶未盡忍不住一直聽下去。
84,吾欲擊汝肺,Toyz 已經把開手搖店賺錢包裝成手搖市場革命，果然有料的人是打不死
85,Clara,TOYZ現在要做這個 就要更加多多注意自己的形象了  因為你是品牌的最佳代言人 加油!
86,John Cheng,"椅子一直很有企劃頭腦
認真做事起來果然相當厲害"
87,可哄抬,"椅子之所以能價格壓這麼低的情況，其實坦白說就是他所說的「疊價」的部份，還有網紅本身「行銷」的隱含成本，但今天身為一個新成立的品牌，再沒有網紅的行銷能力為前提下，那也只能提高品項價格啊⋯⋯
另外關於茶葉價格的部分 基本上 我們加盟店拿到的價格"
88,Ada YAO,椅子可以再開其他的店嗎？現在蔥包餅要70臭豆腐70蚵仔煎70雞排100地瓜球50藥燉排骨90夜市吃一ㄊㄨㄚ下來都可以去吃火鍋了️我說的是石二鍋之類的，不是便宜的那種，另外很多人都說房租貴，所以飲料店不用房租嗎？我們這裡的可麗餅用發財車賣，不用房租，一樣一個賣一百啊！最後想吃什麼都乾脆自己煮算了自己做就真的知道成本有多D了，東西貴是貴在人事成本跟房租，沒辦法自己煮好了只是比較難吃哈哈
89,林家豪,"茶葉雖然拿比較好，怕的就是有些人跳出來說還不是比某某品牌還難喝，所以還是要先扛的住壓力！
加油椅子"
90,David Wang,Toyz真厲害 不只會賣毒品還可以賣飲料
91,建宏,希望藉由椅子的19茶屋能讓市場價格合理化，萬物皆漲的時代還能用合理的價格買到品質不錯的飲料，看完結論是其他縣市拜託也連鎖一下啦~
92,依凡,不只飲料貴 放在車子也好貴 希望toyz也可以往這邊發展
