username,comment
@andyjack0409,椅子 等你出來再創風雲 加油~~~
@Qsmallsheep,這是打算達成七進七出的成就嗎，還是要打算開一檔開箱各刑法的執行刑，老實說蠻屌的，被關進去還能賺錢，普通人早就怕爆了，被關進去只是浪費時間，toyz 是收益>被關的時間
@gtqgtq4187,說真的不是很挺Toyz但他出來還是很多人看，很難下去沒辦法真的是很會帶流量
@asz7894,"兩年後見椅子哥!!!
也希望我那時候年薪已經突破200W
珍重再見!!!"
@wenthe1,"喔？似乎進去前也把其他兩害也拖下水
TOYZ YYDS!"
@a0983989486,保重椅子等你回來
@人間的小神你盡力了,"太鬼了
先蹲一波2年後會紅
椅子兩年後一定會幫我按讚的!"
@mason00110,加油TOYZ!!等你回來啊!!!
@玩玩啊你以为-e6p,椅子，他日江湖再见
@YanXiLiu815,"唉 完全沒片可上嗎
椅子你也不先屯一點慢慢放（嘆"
@蔣蔣-q3n,椅子哥加油！！
@STAR_WARS9,加油椅子哥進去陪小玉
@天夜叉-文哥heavenly6398,"yoz 椅子：坐在我旁边的 筱崎泫吖 妳别唱啦，原谅我～今天这是我的最后一炮了，
之后妳要好好照顾自己了，
别亏待了自己了，
这是我最后一次满足妳了～"
@節拍,"今天去跟toyz一樣剃頭了 
決定剃平頭到他出來為止"
@lucifer31666,果然是貢獻生命在影片的Toyz
@余昌平-h8e,晚安小雞 晚安toyz  流量之王
@mio426_,原來椅子哥喜歡玩皮帶
@dfc5970,希望這兩年小7不會突然懷孕，給椅子一個驚喜大禮包
@ostop4567o,"唉 直播界的鬼才⋯關在裡面真的浪費了你的才能
希望能早日再見到椅子"
@TimeLapse_ss,Toyz進修 Day 1
@linnsellsuper2,toyz在喊在
@chengcheng3668,椅子哥 什麼時侯開直播 我們等你
@吳麻吉-l7n,椅子哥 等你回來
@BaTox_0821,謝謝Toyz給我們兩年多的歡笑
@Yuan_tw,謝啦椅子，帶給我們歡笑，即使知道自己即將面對這一切，心裡的壓力一定不簡單。
@yusheng_15,太狠了找蕾菈來拍 祝椅子哥刑安
@Yan-zv7xi,椅子哥，想你了
@numb0919,知錯能改 椅子哥加油
@阿嘉-m7t,"Toyz想你了
每當想起你我只能去買香腸拼雞鴨便當
希望你能早歸"
@yan510,流量三害：超哥、統神、椅子
@KHL-ob6js,Toyz 加油
@seanchen2009,toyz早點回來啊!我想你了!
@cathysu4009,椅子可以升級成網神了，頭腦真的鬼
@aidensam5180,唉我高中了你剛好也回來了toyz等你回來
